Year,Location,Avg Min Temp *C,Yr Rain mm,Heat Wave,Dry Spell,Cold Wave,Wet Spell
1980,Lake Diane,20.200000000000003,731.72066,N,N,Y,N
1980,Hillport,23.10000000000001,617.77118,N,N,Y,N
1980,Spencerborough,21.100000000000005,1170.91968,N,N,N,N
1981,Lake Diane,19.6,793.6915799999999,No,N,Y,N
1981,Hillport,23.10000000000001,616.65104,N,N,Y,N
1981,Spencerborough,21.100000000000005,1240.3709,N,N,N,N
1982,Lake Diane,20.0,768.45922,N,N,Y,N
1982,Hillport,23.3,648.6093199999999,N,N,N,N
1982,Spencerborough,21.3,1130.4193799999998,N,N,0,N
1983,Lake Diane,20.3,934.26026,N,N,Y,N
1983,Hillport,23.2,594.46922,N,N,Y,N
1983,Spencerborough,21.2,1396.00178,N,N,N,N
1984,Lake Diane,20.100000000000005,840.31074,N,N,Y,N
1984,Hillport,22.9,749.01044,N,N,Y,N
1984,Spencerborough,21.2,1334.8208,N,N,N,N
1985,Hillport,23.4,642.91972,0,N,N,N
1985,Spencerborough,21.5,1439.08018,N,N,N,N
1985,Lake Diane,20.4,1047.23946,N,N,N,N
1986,Spencerborough,21.6,1397.9220199999995,N,N,N,N
1986,Lake Diane,20.200000000000003,1006.80012,N,N,Y,N
1986,Hillport,23.4,762.6502399999999,N,N,Y,N
1987,Spencerborough,21.3,1384.7699,N,N,N,N
1987,Lake Diane,20.7,1015.8603,N,N,N,N
1987,Hillport,23.500000000000007,749.00028,N,N,N,N
1988,Spencerborough,21.5,1458.2698799999998,N,N,N,N
1988,Lake Diane,20.4,981.13088,N,no,Y,N
1988,Hillport,23.3,782.6806799999999,N,N,Y,N
1989,Spencerborough,21.3,1422.0901199999998,N,N,N,N
1989,Lake Diane,20.500000000000004,925.8096799999998,N,n,Y,N
1989,Hillport,23.2,728.2916599999999,N,N,Y,N
1990,Spencerborough,21.100000000000005,1471.7014,N,N,N,no
1990,Hillport,23.4,769.1501,N,N,Y,N
1990,Lake Diane,20.3,1025.3218,N,N,Y,N
1991,Hillport,23.4,788.75128,N,N,Y,N
1991,Spencerborough,21.800000000000004,1544.9016599999998,N,N,N,N
1991,Lake Diane,20.3,1019.63982,N,N,N,N
1992,Hillport,23.600000000000005,806.831,N,N,N,N
1992,Spencerborough,21.3,1450.93182,N,N,N,N
1992,Lake Diane,20.60000000000001,888.96952,N,N,N,N
1993,Hillport,23.8,809.7596199999999,N,N,N,N
1993,Spencerborough,21.800000000000004,1498.64064,N,N,N,N
1993,Lake Diane,20.8,1115.26066,N,No,N,N
1994,Hillport,23.8,813.2114799999999,N,N,N,N
1994,Spencerborough,21.6,1354.02066,N,N,N,N
1994,Lake Diane,21.000000000000007,1073.45988,N,N,N,N
1995,Hillport,23.9,741.74,N,Y,N,N
1995,Spencerborough,21.8,1425.32,N,N,N,N
1995,Lake Diane,21.2,1199.91,N,N,N,Y
1996,Lake Diane,21.1,1182.85,N,N,N,Y
1996,Hillport,23.6,837.42,N,N,N,N
1996,Spencerborough,21.9,1478.76,N,N,N,N
1997,Lake Diane,21.1,1173.02,N,N,Y,N
1997,Hillport,23.8,808.54,N,N,N,N
1997,Spencerborough,21.5,1558.07,N,N,N,Y
1998,Lake Diane,21.1,1024.46,N,N,0,N
1998,Hillport,24.1,835.64,Y,Y,N,N
1998,Spencerborough,22.0,1445.99,N,N,N,N
1999,Hillport,23.9,855.46,N,N,N,N
1999,Spencerborough,21.9,1409.67,n,N,N,N
1999,Lake Diane,20.9,1177.11,No,N,N,N
2000,Spencerborough,22.1,1448.47,N,Y,N,N
2000,Hillport,23.9,901.05,N,N,N,Y
2000,Lake Diane,21.6,1263.19,1,N,N,Y
2001,Spencerborough,22.0,1657.63,Y,N,N,Y
2001,Hillport,23.7,959.72,N,N,N,Y
2001,Lake Diane,21.2,1150.88,N,Y,N,N
2002,Lake Diane,21.6,1174.92,Y,Y,N,N
2002,Spencerborough,22.3,1567.94,N,N,N,Y
2002,Hillport,24.2,899.87,Y,N,N,Y
2003,Hillport,24.2,967.26,Y,N,N,Y
2003,Lake Diane,21.4,1328.73,Y,N,N,Y
2003,Spencerborough,22.0,1773.5,Y,0,N,Y
2004,Spencerborough,22.4,1777.32,N,N,N,Y
2004,Hillport,24.0,924.22,N,N,N,Y
2004,Lake Diane,21.4,1250.74,N,N,N,Y
2005,Lake Diane,21.0,1384.04,N,N,Y,Y
2005,Spencerborough,22.3,1854.69,No,N,N,Y
2005,Hillport,24.0,893.39,N,N,N,Y
2006,Lake Diane,21.9,1336.25,Y,N,N,Y
2006,Hillport,24.1,1009.52,Y,N,N,Y
2006,Spencerborough,22.5,1850.52,no,N,N,Y
2007,Lake Diane,21.6,1381.23,Y,N,N,Y
2007,Spencerborough,22.6,1791.51,N,N,N,Y
2007,Hillport,24.8,1100.48,Y,N,N,Y
2008,Hillport,24.4,979.0,Y,N,N,Y
2008,Spencerborough,22.2,1771.04,N,N,N,Y
2008,Lake Diane,21.6,1271.92,Y,0,N,Y
2009,Hillport,24.6,1077.18,Y,N,N,Y
2009,Spencerborough,22.5,1789.49,N,N,N,Y
2009,Lake Diane,21.6,1589.84,Y,N,N,Y
2010,Hillport,24.5,1033.73,Y,N,N,Y
2010,Spencerborough,22.3,1840.8,N,N,N,Y
2010,Lake Diane,21.7,1404.13,Y,N,N,Y
2011,Hillport,24.9,1044.38,Y,N,0,Y
2011,Spencerborough,22.6,1785.36,N,N,N,Y
2011,Lake Diane,22.2,1569.94,Y,N,N,Y
2012,Lake Diane,22.1,1451.17,Y,N,N,Y
2012,Hillport,24.4,1070.65,Y,N,N,Y
2012,Spencerborough,22.8,1889.89,N,N,N,Y
2013,Spencerborough,22.6,1717.36,N,N,N,Y
2013,Hillport,24.8,1083.39,Y,N,N,Y
2013,Lake Diane,22.0,1442.69,Y,N,N,Y
2014,Hillport,24.3,1084.66,Y,N,N,Y
2014,Spencerborough,22.9,1961.4,N,N,N,Y
2014,Lake Diane,21.8,1477.64,Y,N,N,Y
2015,Hillport,24.8,1191.97,Y,N,N,Y
2015,Spencerborough,22.6,1959.43,N,N,N,Y
2015,Lake Diane,22.1,1597.29,Y,N,N,Y
2016,Lake Diane,22.4,1780.11,Y,N,N,Y
2016,Hillport,24.6,1223.54,Y,N,N,Y
2016,Spencerborough,22.7,1889.46,N,N,N,Y
2017,Lake Diane,22.3,1590.61,Y,N,N,Y
2017,Spencerborough,22.7,1927.09,N,N,N,Y
2017,Hillport,24.8,1152.96,Y,N,N,y
2018,Hillport,25.3,1154.48,Y,N,N,Y
2018,Lake Diane,22.3,1593.94,Y,n,N,Y
2018,Spencerborough,23.1,2155.3,N,N,N,Y
2019,Spencerborough,22.9,1748.07,N,N,N,Y
2019,Lake Diane,22.0,1606.5,Y,N,N,Y
2019,Hillport,25.1,1175.65,Y,N,N,Y
