Year,Location,Avg Min Temp *F,Yr Rain inches,Heat Wave,Dry Spell,Cold Wave,Wet Spell
1980,Lake Diane,68.36,28.8079,N,N,Y,N
1980,Hillport,73.58000000000001,24.3217,N,N,Y,N
1980,Spencerborough,69.98,46.0992,N,N,N,N
1981,Lake Diane,67.28,31.2477,No,N,Y,N
1981,Hillport,73.58000000000001,24.2776,N,N,Y,N
1981,Spencerborough,69.98,48.8335,N,N,N,N
1982,Lake Diane,68.0,30.2543,N,N,Y,N
1982,Hillport,73.94,25.5358,N,N,N,N
1982,Spencerborough,70.34,44.5047,N,N,0,N
1983,Lake Diane,68.53999999999999,36.7819,N,N,Y,N
1983,Hillport,73.75999999999999,23.4043,N,N,Y,N
1983,Spencerborough,70.16,54.9607,N,N,N,N
1984,Lake Diane,68.18,33.0831,N,N,Y,N
1984,Hillport,73.22,29.4886,N,N,Y,N
1984,Spencerborough,70.16,52.552,N,N,N,N
1985,Hillport,74.12,25.3118,0,N,N,N
1985,Spencerborough,70.7,56.6567,N,N,N,N
1985,Lake Diane,68.72,41.2299,N,N,N,N
1986,Spencerborough,70.88,55.0363,N,N,N,N
1986,Lake Diane,68.36,39.6378,N,N,Y,N
1986,Hillport,74.12,30.0256,N,N,Y,N
1987,Spencerborough,70.34,54.5185,N,N,N,N
1987,Lake Diane,69.25999999999999,39.9945,N,N,N,N
1987,Hillport,74.30000000000001,29.4882,N,N,N,N
1988,Spencerborough,70.7,57.4122,N,N,N,N
1988,Lake Diane,68.72,38.6272,N,no,Y,N
1988,Hillport,73.94,30.8142,N,N,Y,N
1989,Spencerborough,70.34,55.9878,N,N,N,N
1989,Lake Diane,68.9,36.4492,N,n,Y,N
1989,Hillport,73.75999999999999,28.6729,N,N,Y,N
1990,Spencerborough,69.98,57.941,N,N,N,no
1990,Hillport,74.12,30.2815,N,N,Y,N
1990,Lake Diane,68.53999999999999,40.367,N,N,Y,N
1991,Hillport,74.12,31.0532,N,N,Y,N
1991,Spencerborough,71.24000000000001,60.8229,N,N,N,N
1991,Lake Diane,68.53999999999999,40.1433,N,N,N,N
1992,Hillport,74.48,31.765,N,N,N,N
1992,Spencerborough,70.34,57.1233,N,N,N,N
1992,Lake Diane,69.08000000000001,34.9988,N,N,N,N
1993,Hillport,74.84,31.8803,N,N,N,N
1993,Spencerborough,71.24000000000001,59.0016,N,N,N,N
1993,Lake Diane,69.44,43.9079,N,No,N,N
1994,Hillport,74.84,32.0162,N,N,N,N
1994,Spencerborough,70.88,53.3079,N,N,N,N
1994,Lake Diane,69.80000000000001,42.2622,N,N,N,N
