Year,Location,Avg Min Temp *C,Yr Rain mm,Heat Wave,Dry Spell,Cold Wave,Wet Spell
1995,Hillport,23.9,741.74,N,Y,N,N
1995,Spencerborough,21.8,1425.32,N,N,N,N
1995,Lake Diane,21.2,1199.91,N,N,N,Y
1996,Lake Diane,21.1,1182.85,N,N,N,Y
1996,Hillport,23.6,837.42,N,N,N,N
1996,Spencerborough,21.9,1478.76,N,N,N,N
1997,Lake Diane,21.1,1173.02,N,N,Y,N
1997,Hillport,23.8,808.54,N,N,N,N
1997,Spencerborough,21.5,1558.07,N,N,N,Y
1998,Lake Diane,21.1,1024.46,N,N,0,N
1998,Hillport,24.1,835.64,Y,Y,N,N
1998,Spencerborough,22.0,1445.99,N,N,N,N
1999,Hillport,23.9,855.46,N,N,N,N
1999,Spencerborough,21.9,1409.67,n,N,N,N
1999,Lake Diane,20.9,1177.11,No,N,N,N
2000,Spencerborough,22.1,1448.47,N,Y,N,N
2000,Hillport,23.9,901.05,N,N,N,Y
2000,Lake Diane,21.6,1263.19,1,N,N,Y
2001,Spencerborough,22.0,1657.63,Y,N,N,Y
2001,Hillport,23.7,959.72,N,N,N,Y
2001,Lake Diane,21.2,1150.88,N,Y,N,N
2002,Lake Diane,21.6,1174.92,Y,Y,N,N
2002,Spencerborough,22.3,1567.94,N,N,N,Y
2002,Hillport,24.2,899.87,Y,N,N,Y
2003,Hillport,24.2,967.26,Y,N,N,Y
2003,Lake Diane,21.4,1328.73,Y,N,N,Y
2003,Spencerborough,22.0,1773.5,Y,0,N,Y
2004,Spencerborough,22.4,1777.32,N,N,N,Y
2004,Hillport,24.0,924.22,N,N,N,Y
2004,Lake Diane,21.4,1250.74,N,N,N,Y
2005,Lake Diane,21.0,1384.04,N,N,Y,Y
2005,Spencerborough,22.3,1854.69,No,N,N,Y
2005,Hillport,24.0,893.39,N,N,N,Y
2006,Lake Diane,21.9,1336.25,Y,N,N,Y
2006,Hillport,24.1,1009.52,Y,N,N,Y
2006,Spencerborough,22.5,1850.52,no,N,N,Y
2007,Lake Diane,21.6,1381.23,Y,N,N,Y
2007,Spencerborough,22.6,1791.51,N,N,N,Y
2007,Hillport,24.8,1100.48,Y,N,N,Y
2008,Hillport,24.4,979.0,Y,N,N,Y
2008,Spencerborough,22.2,1771.04,N,N,N,Y
2008,Lake Diane,21.6,1271.92,Y,0,N,Y
2009,Hillport,24.6,1077.18,Y,N,N,Y
2009,Spencerborough,22.5,1789.49,N,N,N,Y
2009,Lake Diane,21.6,1589.84,Y,N,N,Y
2010,Hillport,24.5,1033.73,Y,N,N,Y
2010,Spencerborough,22.3,1840.8,N,N,N,Y
2010,Lake Diane,21.7,1404.13,Y,N,N,Y
2011,Hillport,24.9,1044.38,Y,N,0,Y
2011,Spencerborough,22.6,1785.36,N,N,N,Y
2011,Lake Diane,22.2,1569.94,Y,N,N,Y
2012,Lake Diane,22.1,1451.17,Y,N,N,Y
2012,Hillport,24.4,1070.65,Y,N,N,Y
2012,Spencerborough,22.8,1889.89,N,N,N,Y
2013,Spencerborough,22.6,1717.36,N,N,N,Y
2013,Hillport,24.8,1083.39,Y,N,N,Y
2013,Lake Diane,22.0,1442.69,Y,N,N,Y
2014,Hillport,24.3,1084.66,Y,N,N,Y
2014,Spencerborough,22.9,1961.4,N,N,N,Y
2014,Lake Diane,21.8,1477.64,Y,N,N,Y
2015,Hillport,24.8,1191.97,Y,N,N,Y
2015,Spencerborough,22.6,1959.43,N,N,N,Y
2015,Lake Diane,22.1,1597.29,Y,N,N,Y
2016,Lake Diane,22.4,1780.11,Y,N,N,Y
2016,Hillport,24.6,1223.54,Y,N,N,Y
2016,Spencerborough,22.7,1889.46,N,N,N,Y
2017,Lake Diane,22.3,1590.61,Y,N,N,Y
2017,Spencerborough,22.7,1927.09,N,N,N,Y
2017,Hillport,24.8,1152.96,Y,N,N,y
2018,Hillport,25.3,1154.48,Y,N,N,Y
2018,Lake Diane,22.3,1593.94,Y,n,N,Y
2018,Spencerborough,23.1,2155.3,N,N,N,Y
2019,Spencerborough,22.9,1748.07,N,N,N,Y
2019,Lake Diane,22.0,1606.5,Y,N,N,Y
2019,Hillport,25.1,1175.65,Y,N,N,Y
